"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","22uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C2,C3,C4,C5,C6,C7,C8,C9,C10","9","100nF","","","","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~"
"C11,C12,C13,C14","4","10uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"D1","1","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"D2","1","LED","","","","LED_THT:LED_D5.0mm","~"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3","~"
"P1","1","Cosmac VIP Edge","","","","LocalFP:EBM22DRXH_vip",""
"P2,P3,P4,P5,P6","5","Cosmac VIP Edge","","","","LocalFP:EBM22DRXH_label_vip",""
"R9","1","22K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R10","1","330","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"RN1","1","22K","","","","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
"U1,U2,U3,U5","4","4050","","","","Package_DIP:DIP-16_W7.62mm","http://www.intersil.com/content/dam/intersil/documents/cd40/cd4050bms.pdf"
"U4","1","4081","","","","Package_DIP:DIP-14_W7.62mm","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4073bms-81bms-82bms.pdf"
"U6","1","4028","","","","Package_DIP:DIP-16_W7.62mm","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4028bms.pdf"
"U7,U8","2","CDP1856","","","","Package_DIP:DIP-16_W7.62mm","http://www.cosmacelf.com/publications/data-sheets/cdp1856.pdf"
"U9","1","4001","","","","Package_DIP:DIP-14_W7.62mm","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4000bms-01bms-02bms-25bms.pdf"
